knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.43,0.76,0.43,0.01
bagging,3,Euclidean,0.82,0.83,0.82,0.79
bagging,3,Jaccard,0.43,0.57,0.43,0.0
bagging,3,Mahalanobis,0.43,0.76,0.43,0.0
bagging,3,Manhattan,0.82,0.83,0.82,0.81
bagging,5,Cosine,0.43,0.76,0.43,0.0
bagging,5,Euclidean,0.84,0.84,0.84,0.82
bagging,5,Jaccard,0.43,0.57,0.43,0.0
bagging,5,Mahalanobis,0.43,0.76,0.43,0.0
bagging,5,Manhattan,0.85,0.85,0.85,0.83
bagging,7,Cosine,0.43,0.76,0.43,0.0
bagging,7,Euclidean,0.84,0.85,0.84,0.84
bagging,7,Jaccard,0.43,0.57,0.43,0.0
bagging,7,Mahalanobis,0.43,0.76,0.43,0.0
bagging,7,Manhattan,0.85,0.85,0.85,0.85
bagging,9,Cosine,0.43,0.76,0.43,0.0
bagging,9,Euclidean,0.84,0.84,0.84,0.84
bagging,9,Jaccard,0.43,0.57,0.43,0.0
bagging,9,Mahalanobis,0.43,0.76,0.43,0.0
bagging,9,Manhattan,0.85,0.85,0.85,0.85
base,3,Eucledian,0.82,0.83,0.82,0.79
base,5,Eucledian,0.84,0.84,0.84,0.82
base,7,Eucledian,0.84,0.85,0.84,0.84
base,9,Eucledian,0.84,0.84,0.84,0.84
features,3,Eucledian Features,0.81,0.82,0.81,0.76
features,5,Eucledian Features,0.82,0.82,0.82,0.8
features,7,Eucledian Features,0.84,0.85,0.84,0.82
features,9,Eucledian Features,0.81,0.82,0.81,0.78
