knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.47,0.75,0.47,0.0
bagging,3,Euclidean,0.66,0.66,0.66,0.72
bagging,3,Jaccard,0.52,0.5,0.52,0.75
bagging,3,Mahalanobis,0.53,0.75,0.53,1.0
bagging,3,Manhattan,0.74,0.74,0.74,0.79
bagging,5,Cosine,0.53,0.47,0.53,0.99
bagging,5,Euclidean,0.65,0.65,0.65,0.7
bagging,5,Jaccard,0.51,0.49,0.51,0.79
bagging,5,Mahalanobis,0.51,0.75,0.51,0.67
bagging,5,Manhattan,0.74,0.74,0.74,0.81
bagging,7,Cosine,0.54,0.54,0.54,0.99
bagging,7,Euclidean,0.64,0.63,0.64,0.71
bagging,7,Jaccard,0.51,0.5,0.51,0.76
bagging,7,Mahalanobis,0.51,0.75,0.51,0.67
bagging,7,Manhattan,0.72,0.72,0.72,0.79
bagging,9,Cosine,0.53,0.46,0.53,0.97
bagging,9,Euclidean,0.61,0.61,0.61,0.68
bagging,9,Jaccard,0.51,0.49,0.51,0.77
bagging,9,Mahalanobis,0.51,0.75,0.51,0.67
bagging,9,Manhattan,0.69,0.69,0.69,0.76
base,3,Eucledian,0.66,0.66,0.66,0.72
base,5,Eucledian,0.65,0.65,0.65,0.7
base,7,Eucledian,0.64,0.63,0.64,0.71
base,9,Eucledian,0.61,0.61,0.61,0.68
features,3,Eucledian Features,0.64,0.64,0.64,0.67
features,5,Eucledian Features,0.79,0.79,0.79,0.83
features,7,Eucledian Features,0.66,0.66,0.66,0.71
features,9,Eucledian Features,0.62,0.62,0.62,0.66
