test_split,k,accuracy,distance
0.2,1,0.948905109489051,Eucledian
0.2,2,0.948905109489051,Eucledian
0.2,3,0.948905109489051,Eucledian
0.2,4,0.948905109489051,Eucledian
0.2,5,0.8978102189781022,Eucledian
0.2,6,0.8905109489051095,Eucledian
0.2,7,0.8832116788321168,Eucledian
0.2,8,0.8832116788321168,Eucledian
0.2,9,0.8759124087591241,Eucledian
0.2,10,0.8759124087591241,Eucledian
0.3,1,0.9560975609756097,Eucledian
0.3,2,0.9560975609756097,Eucledian
0.3,3,0.9463414634146341,Eucledian
0.3,4,0.9512195121951219,Eucledian
0.3,5,0.9024390243902439,Eucledian
0.3,6,0.9073170731707317,Eucledian
0.3,7,0.8829268292682927,Eucledian
0.3,8,0.8829268292682927,Eucledian
0.3,9,0.8536585365853658,Eucledian
0.3,10,0.8634146341463415,Eucledian
0.4,1,0.948905109489051,Eucledian
0.4,2,0.948905109489051,Eucledian
0.4,3,0.9197080291970803,Eucledian
0.4,4,0.9197080291970803,Eucledian
0.4,5,0.8868613138686131,Eucledian
0.4,6,0.8978102189781022,Eucledian
0.4,7,0.8321167883211679,Eucledian
0.4,8,0.8394160583941606,Eucledian
0.4,9,0.7846715328467153,Eucledian
0.4,10,0.7956204379562044,Eucledian
